0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,term
1.0298094,3.2257679,-1.1292682,-3.3069158,3.2196734,-6.3587165,-0.8022725,5.7475348,1.0383414,3.7181878,-5.5209455,4.2845597,8.594668,-5.039503,3.6088748,4.8750186,-0.36846966,-7.635986,4.040999,-5.574558,-0.85047156,-3.3894818,2.084091,1.8841246,-0.3116297,-5.451412,1.9281509,-6.993887,0.73416346,-11.391258,-1.904607,1.9968252,love
-1.1704401,7.3427887,2.883539,-5.3209805,-3.603779,-10.4336,-3.494218,2.984537,-0.029903475,-0.4938067,2.2198076,4.6519365,-2.356045,-1.7808636,-6.1823006,3.8356822,-0.55087894,3.425396,1.9981539,0.17549016,2.1973505,-2.1757882,0.691289,1.8914455,-3.9105833,1.7999815,-1.4722013,-0.31226486,2.510659,-6.416605,3.6103263,5.121888,60's
1.9254216,4.2903438,2.9078238,4.993875,-3.32862,-2.0047762,-1.2023003,8.598966,-3.0234416,3.927225,2.658621,3.0861447,-4.0969825,-0.2712659,-5.7621384,-0.6391815,-1.9599196,0.68838394,-2.6217248,-4.143267,-3.5489855,-1.9942816,1.9849379,0.8803139,-9.107921,7.929914,-0.108021215,-5.2462163,3.991274,2.298478,-2.2478588,-2.532659,1960's
-0.25606927,3.8981752,3.229322,-4.466575,0.65767705,-2.5573244,0.607042,-0.30052468,-4.1025395,1.0653882,-0.33155382,4.810807,-3.3234484,-0.54339015,-4.0898685,-4.4122744,-2.67631,3.414279,-5.7825413,1.2716708,-5.2907605,-0.25831604,0.30985808,2.2356768,-6.6936774,2.699204,-7.3850837,-1.9388691,-5.2942376,-6.2896876,2.0426352,-1.5648727,jukebox heaven
-0.32463303,-1.4094383,1.135097,-5.321388,-3.4642625,-4.4245124,3.465434,-1.4928094,-4.2193747,-1.647568,-0.13725041,6.982618,-1.0749707,-1.588948,-4.857249,0.8162604,2.860937,0.7770169,-7.6457033,-2.4409657,-7.5328617,1.1555076,2.1283665,3.287314,-7.959304,4.0731473,-2.9772327,-2.3292823,0.50009406,-4.9055386,-0.27819198,0.92790145,60s gold
0.6540177,-0.98209953,4.9365726,-6.44467,-4.2131753,-1.1613897,2.0415008,0.5810188,-0.8581058,0.97714543,-0.38289195,0.60788,-6.046096,3.7855356,-5.500125,0.9100661,-2.0884523,-1.2364355,-5.158546,0.8260122,-2.7666574,-0.5582319,-0.18376406,5.034242,-8.574147,-3.0827858,0.6883175,-4.9929986,5.0724773,-6.73789,-1.3243573,-0.77638924,gh10
-0.89055437,4.934994,2.3303335,2.4894874,-3.9744835,-1.9128351,-4.792721,3.496046,0.3878845,1.9767946,-0.7287042,1.4203625,-1.6040564,-2.054159,-4.324178,-1.6884384,-3.16801,2.8744729,-5.838759,3.2505014,-2.3654706,-3.658811,3.6551075,4.316075,-0.30561846,2.430513,-2.230986,-10.111547,2.033407,-6.518293,-7.232917,-5.884866,radiotsar approved
-3.1819334,0.1607671,3.9851565,0.2917109,-7.9430175,-4.634492,-0.43999067,2.655907,3.2444258,-2.8395827,3.711039,1.6398424,6.4992213,-8.997371,2.3225477,1.8313537,-3.0718725,1.2488027,8.455722,6.6029205,-2.4358406,-1.7280213,2.8276486,5.278968,-2.6622064,1.781929,6.2864556,-5.6632357,2.1553118,-8.516575,-0.8830604,-2.3729875,classic rock
-3.7430665,-3.4121344,-0.84455884,1.8299363,-6.084774,-1.7178893,-12.879668,3.036075,1.7260739,1.2325891,-0.95694757,8.571542,5.4068656,-1.8683897,-4.5469565,2.9877143,3.8349047,-4.4982085,-0.5717401,-0.12050903,2.0538914,-0.56383336,-6.9252133,0.13556986,4.1108274,-1.8161836,-2.2049577,-3.7080095,0.2325872,-6.6923933,-4.54239,2.1832778,psychedelic
-4.4008217,-2.7419882,4.8630614,4.6374383,-5.278777,-7.1561775,-1.511391,-3.2991881,4.440079,0.3840729,4.976397,-1.287615,2.2982244,-3.7854388,-8.734258,-7.252797,4.9986286,3.8495069,1.427579,-4.6300807,-3.0075862,0.82005155,-6.4162846,-1.8404523,1.0765676,1.5294785,3.2255762,-4.5260835,-5.905573,-8.051705,0.1213803,4.0331726,blues rock
