0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,term
-4.9050913,-0.2258427,5.9995933,1.1069118,-5.3668175,-11.845834,-3.5705423,-9.983434,-12.946621,-6.5371017,13.432031,10.262749,0.4575154,-2.992457,16.454193,7.1682663,piano
1.3937206,12.959822,1.9638603,3.051286,-6.281151,-9.354016,-8.570806,8.019567,-4.9460325,-22.55155,4.5417633,5.765303,1.6319863,11.612749,3.4565864,7.325749,chill
-9.337206,4.7938943,4.471407,4.344855,-19.204773,-12.259703,0.19828072,4.2125683,0.045292873,2.9250805,6.855174,-10.376698,4.89261,10.027751,-0.81903064,7.2395735,british
-11.079283,7.6635313,11.121464,-7.844809,6.0361032,-3.2089741,6.2581506,-2.1057448,4.7536006,-15.295971,-1.0096947,-12.88564,8.879659,10.715,4.850124,8.055375,chillout
-10.60495,0.19828542,17.078302,-20.7211,-1.3857254,-9.371022,3.674761,4.702524,-6.868962,6.060797,3.5131876,1.8445284,-2.5369449,6.9534516,13.315889,-4.630434,vocal jazz
-16.507725,3.5826023,8.854552,-10.474598,4.7658596,-3.1427848,-1.3445419,19.260067,-21.296526,-11.179816,0.9697948,-2.3959575,-2.6824389,5.959803,13.421875,8.9475565,jazz vocal
12.073841,-6.5395074,9.683758,-11.765314,0.009477964,-6.394298,-13.995761,-2.0266452,-16.665035,-9.291602,1.5732751,-1.9605763,-5.564515,3.0451024,4.967175,6.3309727,jazzy
-6.078748,-4.967396,8.429928,3.9351022,-0.10435274,-4.369675,-0.9603328,-1.7211798,12.670551,-8.57994,6.3848042,-1.2066522,7.9840164,12.051113,10.667108,-15.064947,mellow
-5.4273415,1.8999501,2.5584872,-0.86621696,1.3778796,0.5720649,1.6043326,-0.86594594,-8.982459,-16.815208,8.279046,-21.072077,1.0316669,-10.213776,16.928968,-6.534922,acoustic
7.798126,3.2491457,11.137901,-8.108565,3.2091448,-0.8165213,-6.247538,17.06085,-5.6296973,-13.116506,5.5628977,-9.382066,-0.7511735,12.651063,3.6417196,-9.791828,relax
